AMC,Fund Name,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk,score,Predicted Score,Cluster
mahindra manulife mutual fund,Mahindra Manulife Large & Mid Cap Reg-G,3,3,5.51%,28.32,37.79,20.29,Rs.500.0,Abhinav Khandelwal,2569.63,Equity,High ,26.232,26.227007745885768,1
mahindra manulife mutual fund,Mahindra Manulife Consumption Reg-G,0,3,7.25%,24.89,46.08,21.93,Rs.500.0,Abhinav Khandelwal,322.26,Equity,High ,30.204,30.114890724867987,1
mahindra manulife mutual fund,Mahindra Manulife Mid Cap Reg-G,4,4,5.94%,35.11,54.46,27.48,Rs.500.0,Abhinav Khandelwal,3292.76,Equity,High ,36.776,37.12580417343211,1
mahindra manulife mutual fund,Mahindra Manulife Large Cap Reg-G,4,3,4.06%,23.69,32.07,15.18,Rs.500.0,Abhinav Khandelwal,577.72,Equity,Very High,21.900000000000002,21.714757888426327,1
tata mutual fund,Tata Infrastructure Reg-G,4,3,2.64%,198.23,54.87,31.46,Rs.100.0,Abhinav Sharma,2565.49,Equity,Very High,37.532000000000004,37.96170848009246,1
tata mutual fund,Tata Flexi Cap Reg-G,0,3,6.74%,24.41,34.35,14.9,Rs.100.0,Abhinav Sharma,3075.39,Equity,Very High,22.700000000000003,22.50651321347849,1
tata mutual fund,Tata Midcap Growth Reg-G,3,3,5.31%,455.92,46.49,23.52,Rs.100.0,Abhinav Sharma,4514.03,Equity,High ,31.003999999999998,31.194450090350863,1
kotak mahindra mutual fund,Kotak Balanced Advantage Reg-G,3,3,3.65%,20.12,22.08,11.9,Rs.100.0,Abhishek Bisen,16988.47,Hybrid,Very High,16.592,17.147242261020548,2
kotak mahindra mutual fund,Kotak Gold Reg-G,0,3,3.84%,28.71,23.17,14.07,Rs.100.0,Abhishek Bisen,1977.07,Other,High,17.896,17.780308278867896,2
kotak mahindra mutual fund,Kotak Bond Reg-G,4,3,1.04%,72.69,8.68,5.27,Rs.100.0,Abhishek Bisen,2161.3,Debt,Moderate,8.58,8.587597194786719,0
kotak mahindra mutual fund,Kotak Debt Hybrid Reg-G,5,4,2.36%,56.8,17.93,10.64,Rs.100.0,Abhishek Bisen,2760.72,Hybrid,Moderately High,15.428,14.976398041964526,0
