Age,Monthly Income (INR),Risk Appetite,Time Horizon (Years),Investment Goal,Recommended SIP Funds
42,132760,High,20,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
57,35364,High,9,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
28,59958,High,9,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
60,128110,Moderate,20,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
21,114858,Low,7,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
30,52889,Low,12,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
25,22000,High,8,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
52,55346,High,7,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
27,37523,High,15,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
24,27486,High,3,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
42,23065,Low,14,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
45,49547,Moderate,7,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
44,51461,Moderate,4,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
33,93522,High,7,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
58,148042,Low,3,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
21,63374,Moderate,9,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
48,89267,Low,2,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
49,143780,Moderate,7,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
33,145547,Moderate,14,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
24,133785,High,14,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
27,132883,High,8,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
58,69231,Moderate,7,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
43,117408,Moderate,4,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
58,143717,Low,18,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
34,123663,Moderate,16,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
32,68375,High,6,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
45,22695,High,14,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
35,53820,Moderate,6,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
27,54849,Moderate,7,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
24,40565,Moderate,17,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
42,142096,Moderate,1,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
31,70128,Moderate,8,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
37,42820,Moderate,1,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
30,109283,High,9,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
31,94484,Moderate,5,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
25,72633,Low,8,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
54,32968,Low,17,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
36,38979,Moderate,3,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
26,146075,Moderate,8,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
31,88251,High,17,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
58,61112,High,7,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
24,117548,Moderate,14,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
31,114875,High,5,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
59,49108,Low,4,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
35,144090,Low,11,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
55,131031,Low,8,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
51,91244,Low,18,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
43,135602,High,17,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
39,130455,Low,18,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
27,54291,Moderate,8,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
60,136859,High,13,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
24,118303,Moderate,19,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
53,135632,High,12,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
42,72539,High,10,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
31,86024,Low,9,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
35,138189,Low,11,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
22,94752,Moderate,5,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
40,36940,High,14,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
45,75656,High,5,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
38,145964,Moderate,6,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
53,109738,Low,15,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
49,87075,High,12,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
32,114339,Moderate,18,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
29,133006,Moderate,16,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
38,104349,Moderate,19,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
32,85533,Low,18,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
23,94301,Moderate,13,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
56,26499,High,18,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
23,96512,Low,20,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
44,23336,Moderate,13,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
49,73126,Moderate,9,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
38,69006,Moderate,12,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
41,145679,Moderate,3,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
36,132162,High,19,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
44,104131,Low,6,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
27,107491,High,17,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
60,131411,Low,16,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
20,148030,High,17,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
31,44533,Low,13,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
