Age,Monthly Income (INR),Risk Appetite,Time Horizon (Years),Investment Goal,Recommended SIP Funds,score,Predicted Score,Cluster
42,132760,0,20,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",39840.5,39790.259477558764,1
57,35364,0,9,0,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",10622.399999999998,10621.08862453034,1
28,59958,0,9,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",17995.099999999995,17957.990089827694,0
60,128110,2,20,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",38449.5,38483.02134661626,2
21,114858,1,7,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",34463.299999999996,34452.314820271116,1
30,52889,1,12,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",15875.3,15902.19214667343,1
25,22000,0,8,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",6606.900000000001,6379.933213371669,0
52,55346,0,7,3,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",16615.9,16705.478012163465,0
27,37523,0,15,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",11265.4,11265.422447427076,1
24,27486,0,3,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",8251.4,8236.309334947204,0
42,23065,1,14,1,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",6931.0,6832.528918786632,1
45,49547,2,7,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",14874.999999999998,14832.30442582945,2
44,51461,2,4,1,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",15448.399999999998,15434.151580275731,2
33,93522,0,7,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",28064.699999999997,28100.13772908119,1
58,148042,1,3,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",44424.99999999999,44577.76353187182,1
21,63374,2,9,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",19018.9,19069.708915037045,2
48,89267,1,2,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",26790.3,26768.901526275607,1
49,143780,2,7,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",43145.600000000006,43154.06370675177,2
33,145547,2,14,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",43673.9,43725.71235940441,2
24,133785,0,14,1,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",40143.200000000004,40098.80901187665,1
27,132883,0,8,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",39872.1,39930.28632068325,0
58,69231,2,7,3,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",20783.0,20765.21260712813,2
43,117408,2,4,2,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",35232.4,35244.40948813161,2
58,143717,1,18,0,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund",43130.49999999999,43210.504598986925,1
34,123663,2,16,0,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund",37109.3,37124.88447751198,2
32,68375,0,6,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",20520.300000000003,20485.551725563007,0
45,22695,0,14,2,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund",6820.5,6828.998601722218,0
